rank,experiment_id,task,model_name,architecture_key,primary_change,optimizer,learning_rate,batch_size,epochs_requested,epochs_completed,early_stopping,train_accuracy,validation_accuracy,test_accuracy,train_loss,validation_loss,test_loss,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,trainable_params,training_time_seconds,random_seed,status
1,OPT_03_FINAL_CNN_ADAM_LOW_LR,3,Final CNN Adam Low LR,cnn_tuned_finalist,fixed finalist architecture with lower Adam learning rate,adam,0.0005,64,5,5,"patience=2, restore_best_weights=True",0.9390000104904175,0.9293000102043152,0.9204999804496765,0.1690463274717331,0.20393401384353638,0.22281140089035034,0.9211794888238641,0.9205,0.9203787879550678,0.9211794888238642,0.9205,0.920378787955068,266794,467.3419119320024,42,completed
2,CNN_04_TUNED_FINALIST,2,CNN Tuned Finalist,cnn_tuned_finalist,adds batch normalization and dropout,adam,0.001,64,5,5,"patience=2, restore_best_weights=True",0.942080020904541,0.9290000200271606,0.9185000061988831,0.16262108087539673,0.20335540175437927,0.233476921916008,0.9189746296169666,0.9185000000000001,0.9184297392847418,0.9189746296169665,0.9185,0.9184297392847417,266794,488.1191247780007,42,completed
3,OPT_01_FINAL_CNN_ADAM,3,Final CNN Adam,cnn_tuned_finalist,fixed finalist architecture with Adam 0.001,adam,0.001,64,5,5,"patience=2, restore_best_weights=True",0.942080020904541,0.9290000200271606,0.9185000061988831,0.16262108087539673,0.20335540175437927,0.233476921916008,0.9189746296169666,0.9185000000000001,0.9184297392847418,0.9189746296169665,0.9185,0.9184297392847417,266794,475.79426218700246,42,completed
4,CNN_03_DEEPER,2,CNN Deeper,cnn_deeper,adds convolutional depth,adam,0.001,64,5,5,"patience=2, restore_best_weights=True",0.9388399720191956,0.916700005531311,0.9103999733924866,0.16595447063446045,0.2322831004858017,0.24674923717975616,0.911504887971242,0.9103999999999999,0.9096652512170614,0.9115048879712422,0.9104,0.9096652512170614,266410,408.59966956400604,42,completed
5,OPT_02_FINAL_CNN_SGD,3,Final CNN SGD,cnn_tuned_finalist,fixed finalist architecture with SGD momentum,sgd_momentum,0.01,64,5,5,"patience=2, restore_best_weights=True",0.9322400093078613,0.919700026512146,0.9100000262260437,0.18600673973560333,0.21858341991901398,0.24198193848133087,0.9097161019263702,0.9099999999999999,0.909159434466034,0.90971610192637,0.91,0.9091594344660342,266794,470.22429601200565,42,completed
6,CNN_01_BASELINE,2,CNN Baseline,cnn_baseline,baseline convolutional model,adam,0.001,64,5,5,"patience=2, restore_best_weights=True",0.9375600218772888,0.9132000207901001,0.9047999978065491,0.17016255855560303,0.23673616349697113,0.2650856077671051,0.9065338098471226,0.9048,0.9049016101299007,0.9065338098471226,0.9048,0.9049016101299007,421642,166.07639909900172,42,completed
7,CNN_02_MORE_FILTERS,2,CNN More Filters,cnn_more_filters,increases convolution filters,adam,0.001,64,5,5,"patience=2, restore_best_weights=True",0.9330199956893921,0.9107000231742859,0.8995000123977661,0.1815207600593567,0.2469640076160431,0.27329379320144653,0.9023622556805966,0.8995,0.8993312232212656,0.9023622556805967,0.8995,0.8993312232212657,878730,284.4472885139985,42,completed
8,DNN_03_TUNED,1,Dense Tuned,dnn_tuned,adds dropout regularization,adam,0.001,64,5,5,"patience=2, restore_best_weights=True",0.889680027961731,0.8813999891281128,0.8683000206947327,0.296790212392807,0.3269300162792206,0.36624836921691895,0.8711339602770506,0.8683,0.8683999442448368,0.8711339602770506,0.8683,0.8683999442448368,235146,13.05164260899619,42,completed
9,DNN_02_DEEPER,1,Dense Deeper,dnn_deeper,adds second dense layer,adam,0.001,64,5,5,"patience=2, restore_best_weights=True",0.8880599737167358,0.8777999877929688,0.8623999953269958,0.3047536611557007,0.3402501940727234,0.37980565428733826,0.8637270025831947,0.8624,0.8600884195626538,0.8637270025831947,0.8624,0.8600884195626539,235146,15.858213460000115,42,completed
10,DNN_01_BASELINE,1,Dense Baseline,dnn_baseline,single hidden dense layer,adam,0.001,64,5,5,"patience=2, restore_best_weights=True",0.8787800073623657,0.8723999857902527,0.8575000166893005,0.3310915529727936,0.35532712936401367,0.3975064754486084,0.8614052054721011,0.8574999999999999,0.8560703121347778,0.8614052054721011,0.8575,0.8560703121347778,101770,9.34376417799649,42,completed
