experiment_id,epoch,accuracy,loss,val_accuracy,val_loss
DNN_01_BASELINE,1,0.8125799894332886,0.5420676469802856,0.8528000116348267,0.41678017377853394
DNN_01_BASELINE,2,0.8576800227165222,0.39993494749069214,0.8684999942779541,0.3716721832752228
DNN_01_BASELINE,3,0.8715400099754333,0.356734037399292,0.8741999864578247,0.3581787645816803
DNN_01_BASELINE,4,0.8797399997711182,0.3292449116706848,0.8723999857902527,0.35532715916633606
DNN_01_BASELINE,5,0.8878200054168701,0.30895698070526123,0.8704000115394592,0.3592422604560852
DNN_02_DEEPER,1,0.8195000290870667,0.5045394897460938,0.8586000204086304,0.4033010005950928
DNN_02_DEEPER,2,0.8633400201797485,0.3708553612232208,0.8695999979972839,0.36981070041656494
DNN_02_DEEPER,3,0.8763599991798401,0.33130979537963867,0.8759999871253967,0.3481939435005188
DNN_02_DEEPER,4,0.8860200047492981,0.3042244017124176,0.8777999877929688,0.34025025367736816
DNN_02_DEEPER,5,0.8942599892616272,0.2843968868255615,0.8691999912261963,0.35849806666374207
DNN_03_TUNED,1,0.8018199801445007,0.5498689413070679,0.8628000020980835,0.3946867287158966
DNN_03_TUNED,2,0.8504199981689453,0.4073792099952698,0.8687999844551086,0.3672584593296051
DNN_03_TUNED,3,0.8630200028419495,0.3704488277435303,0.8794000148773193,0.34337159991264343
DNN_03_TUNED,4,0.8696600198745728,0.3495051860809326,0.8755000233650208,0.34882956743240356
DNN_03_TUNED,5,0.8759400248527527,0.3309937119483948,0.8813999891281128,0.32693013548851013
CNN_01_BASELINE,1,0.8393999934196472,0.45335808396339417,0.8883000016212463,0.3268023133277893
CNN_01_BASELINE,2,0.8945800065994263,0.2926035523414612,0.8996999859809875,0.2850046753883362
CNN_01_BASELINE,3,0.9099799990653992,0.24809196591377258,0.9050999879837036,0.26347091794013977
CNN_01_BASELINE,4,0.9208599925041199,0.2157483547925949,0.9092000126838684,0.24551716446876526
CNN_01_BASELINE,5,0.9309399724006653,0.18833033740520477,0.9132000207901001,0.23673617839813232
CNN_02_MORE_FILTERS,1,0.843280017375946,0.4355728030204773,0.8865000009536743,0.3153056800365448
CNN_02_MORE_FILTERS,2,0.8996000289916992,0.27639350295066833,0.902999997138977,0.2655198574066162
CNN_02_MORE_FILTERS,3,0.9168400168418884,0.22654835879802704,0.9078999757766724,0.2529327869415283
CNN_02_MORE_FILTERS,4,0.9305599927902222,0.19097787141799927,0.9107000231742859,0.24696415662765503
CNN_02_MORE_FILTERS,5,0.9434599876403809,0.1584511399269104,0.9120000004768372,0.24887126684188843
CNN_03_DEEPER,1,0.8410199880599976,0.4446793794631958,0.8916000127792358,0.2988072335720062
CNN_03_DEEPER,2,0.9035000205039978,0.2655948996543884,0.9088000059127808,0.2509468197822571
CNN_03_DEEPER,3,0.921019971370697,0.21561528742313385,0.9140999913215637,0.23755334317684174
CNN_03_DEEPER,4,0.9330400228500366,0.18351109325885773,0.916700005531311,0.23228320479393005
CNN_03_DEEPER,5,0.943340003490448,0.15510283410549164,0.9128999710083008,0.2502721846103668
CNN_04_TUNED_FINALIST,1,0.8309400081634521,0.4657336473464966,0.8995000123977661,0.29085904359817505
CNN_04_TUNED_FINALIST,2,0.8942199945449829,0.28824448585510254,0.8970000147819519,0.2766541540622711
CNN_04_TUNED_FINALIST,3,0.908840000629425,0.2527749538421631,0.920199990272522,0.21765244007110596
CNN_04_TUNED_FINALIST,4,0.9175599813461304,0.22550177574157715,0.9210000038146973,0.2154146283864975
CNN_04_TUNED_FINALIST,5,0.923740029335022,0.20734718441963196,0.9290000200271606,0.2033553570508957
OPT_01_FINAL_CNN_ADAM,1,0.8309400081634521,0.4657336473464966,0.8995000123977661,0.29085904359817505
OPT_01_FINAL_CNN_ADAM,2,0.8942199945449829,0.28824448585510254,0.8970000147819519,0.2766541540622711
OPT_01_FINAL_CNN_ADAM,3,0.908840000629425,0.2527749538421631,0.920199990272522,0.21765244007110596
OPT_01_FINAL_CNN_ADAM,4,0.9175599813461304,0.22550177574157715,0.9210000038146973,0.2154146283864975
OPT_01_FINAL_CNN_ADAM,5,0.923740029335022,0.20734718441963196,0.9290000200271606,0.2033553570508957
OPT_02_FINAL_CNN_SGD,1,0.8243200182914734,0.4856472313404083,0.8896999955177307,0.31144171953201294
OPT_02_FINAL_CNN_SGD,2,0.885860025882721,0.31288382411003113,0.9089999794960022,0.25766226649284363
OPT_02_FINAL_CNN_SGD,3,0.9034600257873535,0.265855073928833,0.9121000170707703,0.24710163474082947
OPT_02_FINAL_CNN_SGD,4,0.9104599952697754,0.24630169570446014,0.9172000288963318,0.23181010782718658
OPT_02_FINAL_CNN_SGD,5,0.9179800152778625,0.22692014276981354,0.919700026512146,0.21858346462249756
OPT_03_FINAL_CNN_ADAM_LOW_LR,1,0.8170599937438965,0.5007975697517395,0.8870999813079834,0.3124995529651642
OPT_03_FINAL_CNN_ADAM_LOW_LR,2,0.8863000273704529,0.3113895654678345,0.9071000218391418,0.2521435022354126
OPT_03_FINAL_CNN_ADAM_LOW_LR,3,0.9043800234794617,0.26024580001831055,0.9214000105857849,0.22303156554698944
OPT_03_FINAL_CNN_ADAM_LOW_LR,4,0.9137399792671204,0.23215530812740326,0.9211000204086304,0.22103606164455414
OPT_03_FINAL_CNN_ADAM_LOW_LR,5,0.9220600128173828,0.21069322526454926,0.9293000102043152,0.20393399894237518
